customerid,sum
6,49.62
26,47.62
57,46.62
46,45.62
45,45.62
37,43.62
28,43.62
24,43.62
7,42.62
25,42.62
44,41.62
43,40.62
5,40.62
48,40.62
3,39.62
4,39.62
22,39.62
17,39.62
42,39.62
1,39.62
34,39.62
20,39.62
15,38.62
39,38.62
40,38.62
51,38.62
19,38.62
58,38.62
35,37.62
52,37.62
31,37.62
32,37.62
8,37.62
12,37.62
10,37.62
11,37.62
18,37.62
16,37.62
54,37.62
47,37.62
13,37.62
49,37.62
9,37.62
14,37.62
55,37.62
27,37.62
36,37.62
38,37.62
30,37.62
50,37.62
33,37.62
56,37.62
53,37.62
29,37.62
2,37.62
21,37.62
23,37.62
41,37.62
59,36.64
